Name,Party,State
"Nadda, Shri Jagat Prakash",BJP,Himachal Pradesh
"Nagar, Shri Surendra Singh",SP,Uttar Pradesh
"Naidu, Shri M. Venkaiah",BJP,Rajasthan
"Naik, Shri Shantaram",INC,Goa
"Nanda, Shri Kiranmay",SP,Uttar Pradesh
"Naqvi, Shri Mukhtar Abbas",BJP,Jharkhand
"Narah, Smt. Ranee",INC,Assam
"Narayanan, Shri C.P.",CPI(M),Kerala
"Nathwani, Shri Parimal",IND.,Jharkhand
"Navaneethakrishnan, Shri A.",AIADMK,Tamil Nadu
"Nekkanti, Shri Bhaskar Rao",BJD,Odisha
"Netam, Shri Ram Vichar",BJP,Chhattisgarh
"Nirmala Sitharaman, Smt.",BJP,Karnataka
"Nishad, Shri Vishambhar Prasad",SP,Uttar Pradesh
"O Brien, Shri Derek",AITC,West Bengal
"Panchariya, Shri Narayan Lal",BJP,Rajasthan
"Pandya, Shri Dilipbhai",BJP,Gujarat
"Parasaran, Shri K.",NOM.,Nominated
"Parrikar, Shri Manohar",BJP,Uttar Pradesh
"Patel, Shri Ahmed",INC,Gujarat
"Patel, Shri Praful",NCP,Maharashtra
"Patil, Shri Basawaraj",BJP,Karnataka
"Patil, Smt. Rajani",INC,Maharashtra
"Pawar, Shri Sharad",NCP,Maharashtra
"Perween, Smt. Kahkashan",JD(U),Bihar
"Poddar, Shri Mahesh",BJP,Jharkhand
"Prabhu, Shri Suresh",BJP,Andhra Pradesh
"Pradhan, Shri Dharmendra",BJP,Bihar
"Prasad, Shri Ravi Shankar",BJP,Bihar
"Punia, Shri P.L.",INC,Uttar Pradesh
"Ragesh, Shri K.K.",CPI(M),Kerala
"Raja, Shri D.",CPI,Tamil Nadu
"Rajaram, Shri",BSP,Uttar Pradesh
"Ramamurthy, Shri K.C.",INC,Karnataka
"Ramesh, Shri C.M.",TDP,Telangana
"Ramesh, Shri Jairam",INC,Karnataka
"Rangarajan, Shri T.K.",CPI(M),Tamil Nadu
"Rangasayee Ramakrishna, Shri",BJP,Karnataka
"Rao, Shri Garikapati Mohan",TDP,Telangana
"Rao, Dr. K. Keshava",TRS,Andhra Pradesh
"Rao, Dr. K.V.P. Ramachandra",INC,Telangana
"Rao, Shri V. Lakshmikantha",TRS,Telangana
"Rapolu, Shri Ananda Bhaskar",INC,Telangana
"Rathinavel, Shri T.",AIADMK,Tamil Nadu
"Raut, Shri Sanjay",SS,Maharashtra
"Ravi, Shri Vayalar",INC,Kerala
"Reddy, Shri D. Kupendra",JD(S),Karnataka
"Reddy, Shri Palvai Govardhan",INC,Telangana
"Reddy, Dr. T. Subbarami",INC,Andhra Pradesh
"Reddy, Shri V. Vijayasai",YSRCP,Andhra Pradesh
"Rekha, Ms.",NOM.,Nominated
"Roy, Shri Mukul",AITC,West Bengal
"Roy, Shri Sukhendu Sekhar",AITC,West Bengal
"Rupala, Shri Parshottam",BJP,Gujarat
"Sable, Shri Amar Shankar",BJP,Maharashtra
"Sahani, Dr. Anil Kumar",JD(U),Bihar
"Sahasrabuddhe, Dr. Vinay P.",BJP,Maharashtra
"Salam, Haji Abdul",INC,Manipur
"Saleem, Chaudhary Munvvar",SP,Uttar Pradesh
"Sancheti, Shri Ajay",BJP,Maharashtra
"Sanjiv Kumar, Shri",JMM,Jharkhand
"Sasikala Pushpa, Smt.",AIADMK,Tamil Nadu
"Seetharama Lakshmi, Smt. Thota",TDP,Andhra Pradesh
"Selja, Kumari",INC,Haryana
"Selvaraj, Shri A. K.",AIADMK,Tamil Nadu
"Sen, Ms. Dola",AITC,West Bengal
"Sen, Shri Tapan Kumar",CPI(M),West Bengal
"Seth, Shri Sanjay",SP,Uttar Pradesh
"Shekhar, Shri Neeraj",SP,Uttar Pradesh
"Shukla, Shri Rajeev",INC,Maharashtra
"Shukla, Shri Shiv Pratap",BJP,Uttar Pradesh
"Sibal, Shri Kapil",INC,Uttar Pradesh
"Singh, Shri Amar",SP,Uttar Pradesh
"Singh, Shri Bashistha Narain",JD(U),Bihar
"Singh, Chaudhary Birender",BJP,Haryana
"Singh, Shri Digvijaya",INC,Madhya Pradesh
"Singh, Shri Gopal Narayan",BJP,Bihar
"Singh, Dr. Kanwar Deep",AITC,West Bengal
"Singh, Dr. Manmohan",INC,Assam
"Singh, Shri Ram Chandra Prasad",JD(U),Bihar
"Singh, Shri Rewati Raman",SP,Uttar Pradesh
"Singh, Shri Veer",BSP,Uttar Pradesh
"Singhvi, Dr. Abhishek Manu",INC,Rajasthan
"Sinh, Dr. Sanjay",INC,Assam
"Sinha, Shri R. K.",BJP,Bihar
"Siva, Shri Tiruchi",DMK,Tamil Nadu
"Somaprasad, Shri K.",CPI(M),Kerala
"Soni, Smt. Ambika",INC,Punjab
"Srinivas, Shri Dharmapuri",TRS,Telangana
"Subhash Chandra, Dr.",IND.,Haryana
"Suresh Gopi, Shri",NOM.,Nominated
"Swain, Shri Narendra Kumar",BJD,Odisha
"Swamy, Shri A.V.",IND.,Odisha
"Swamy, Dr. Subramanian",BJP,Nominated
"Syiem, Smt. Wansuk",INC,Meghalaya
"Tamta, Shri Pradeep",INC,Uttarakhand
"Tankha, Shri Vivek K.",INC,Madhya Pradesh
