Name of Member,Party Name,Party Full Name,Constituency,State
"Fatepara,Shri Devajibhai Govindbhai",BJP,Bharatiya Janata Party,Surendranagar,Gujarat
"Gaddigoudar,Shri Parvatagouda Chandanagouda",BJP,Bharatiya Janata Party,Bagalkot,Karnataka
"Gadkari,Shri Nitin Jairam",BJP,Bharatiya Janata Party,Nagpur,Maharashtra
"Gaikwad,Prof. Ravindra Vishwanath",Shiv Sena,Shiv Sena,Osmanabad,Maharashtra
"Gaikwad,Dr. Sunil Baliram",BJP,Bharatiya Janata Party,Latur,Maharashtra
"Galla,Shri Jayadev",TDP,Telugu Desam Party,Guntur,Andhra Pradesh
"Gandhi,Dr. Dharam Vira",AAP,Aam Aadmi Party,Patiala,Punjab
"Gandhi,Shri Dilip Kumar Mansukhlal",BJP,Bharatiya Janata Party,Ahmednagar,Maharashtra
"Gandhi,Shri Feroze Varun",BJP,Bharatiya Janata Party,Sultanpur,Uttar Pradesh
"Gandhi,Smt. Maneka Sanjay",BJP,Bharatiya Janata Party,Pilibhit,Uttar Pradesh
"Gandhi,Shri Rahul",INC,Indian National Congress,Amethi,Uttar Pradesh
"Gandhi,Smt. Sonia",INC,Indian National Congress,Rae Bareli,Uttar Pradesh
"Gangwar,Shri Santosh Kumar",BJP,Bharatiya Janata Party,Bareilly,Uttar Pradesh
"Gautam,Shri Satish Kumar",BJP,Bharatiya Janata Party,Aligarh,Uttar Pradesh
"Gavit,Dr. Heena Vijaykumar",BJP,Bharatiya Janata Party,Nandurbar,Maharashtra
"Gawali (Patil),Ms. Bhavana Pundlikrao",Shiv Sena,Shiv Sena,Yavatmal-Washim,Maharashtra
"Geete,Shri Anant Gangaram",Shiv Sena,Shiv Sena,Raigad,Maharashtra
"General (Dr.) , Vijay Kumar Singh (Retd.)",BJP,Bharatiya Janata Party,Ghaziabad,Uttar Pradesh
"George,Shri (Adv.) Joice",Independents,Independents,Idukki,Kerala
"Ghosh,Ms. Arpita",TMC,All India Trinamool Congress,Balurghat,West Bengal
"Ghubaya,Shri Sher Singh",SAD,Shiromani Akali Dal,Ferozpur,Punjab
"Giluwa,Shri Laxman",BJP,Bharatiya Janata Party,Singhbhum,Jharkhand
"Girri,Shri Maheish",BJP,Bharatiya Janata Party,East Delhi,NCT of Delhi
"Godam,Shri Nagesh",Telangana Rashtra Samithi,Telangana Rashtra Samithi,Adilabad,Telangana
"Godse,Shri Hemant Tukaram",Shiv Sena,Shiv Sena,Nashik,Maharashtra
"Gogoi,Shri Gaurav",INC,Indian National Congress,Kaliabor,Assam
"Gohain,Shri Rajen",BJP,Bharatiya Janata Party,Nawgong,Assam
"Gopal,Dr. K.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Nagapattinam,Tamil Nadu
"Gopalakrishnan,Shri R.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Madurai,Tamil Nadu
"Goud,Dr. Boora Narsaiah",Telangana Rashtra Samithi,Telangana Rashtra Samithi,Bhongir,Telangana
"Gowda,Shri D.V. Sadananda",BJP,Bharatiya Janata Party,Bangalore,North Karnataka
"Gupta,Shri Shyama Charan",BJP,Bharatiya Janata Party,Allahabad,Uttar Pradesh
"Gupta,Shri Sudheer",BJP,Bharatiya Janata Party,Mandsour,Madhya Pradesh
"Gurjar,Shri Krishan Pal",BJP,Bharatiya Janata Party,Faridabad,Haryana
"Gutha,Shri Sukender Reddy",INC,Indian National Congress,Nalgonda,Telangana
"Hansdah,Shri Rama Chandra",BJD,Biju Janata Dal,Mayurbhanj,Odisha
"Hansdak,Shri Vijay Kumar",Jharkhand Mukti Morcha,Jharkhand Mukti Morcha,Rajmahal,Jharkhand
"Hari,Shri G.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Arakkonam,Tamil Nadu
"Harsh Vardhan ,Dr.",BJP,Bharatiya Janata Party,Chandni,NCT of Delhi
"Hay,Prof. Richard",,,Nominated Anglo-Indian,Kerala
"Hazra,Dr. Anupam",TMC,All India Trinamool Congress,Bolpur,West Bengal
"Hegde,Shri Anantkumar",BJP,Bharatiya Janata Party,Uttara Kannada,Karnataka
"Hema Malini,Smt.",BJP,Bharatiya Janata Party,Mathura,Uttar Pradesh
"Hikaka,Shri Jhina",BJD,Biju Janata Dal,Koraput,Odisha
"Hooda,Shri Deepender Singh",INC,Indian National Congress,Rohtak,Haryana
"Hukkeri,Shri Prakash Babanna",INC,Indian National Congress,Chikkodi,Karnataka
"Innocent,Shri",Independents,Independents,Chalakudy,Kerala
"Jadhav,Shri Prataprao",Shiv Sena,Shiv Sena,Buldhana,Maharashtra
"Jadhav,Shri Sanjay Haribhau",Shiv Sena,Shiv Sena,Parbhani,Maharashtra
"Jaiswal,Dr. Sanjay",BJP,Bharatiya Janata Party,Paschim Champaran,Bihar
"Jardosh,Smt. Darshana Vikram",BJP,Bharatiya Janata Party,Surat,Gujarat
"Jat,Prof. Sanwar Lal",BJP,Bharatiya Janata Party,Ajmer,Rajasthan
"Jatua,Shri Choudhury Mohan",TMC,All India Trinamool Congress,Mathurapur,West Bengal
"Jaunapuria,Shri Sukhbir Singh",BJP,Bharatiya Janata Party,Tonk-Sawai Madhopur,Rajasthan
"Jayadevan,Shri C. N.",CPI,Communist Party of India,Thrissur,Kerala
"Jayavardhan,Dr. Jayakumar",AIADMK,All India Anna Dravida Munnetra Kazhagam,Chennai,Tamil Nadu
"Jena,Shri Rabindra Kumar",BJD,Biju Janata Dal,Balasore,Odisha
"Jigajinagi,Shri Ramesh Chandappa",BJP,Bharatiya Janata Party,Bijapur,Karnataka
"Joshi,Shri C. P.",BJP,Bharatiya Janata Party,Chittorgarh,Rajasthan
"Joshi,Dr. Murli Manohar",BJP,Bharatiya Janata Party,Kanpur,Uttar Pradesh
"Joshi,Shri Pralhad Venkatesh",BJP,Bharatiya Janata Party,Dharwad,Karnataka
"Jyoti,Sadhvi Niranjan",BJP,Bharatiya Janata Party,Fatehpur,Uttar Pradesh
"K.,Shri Parasuraman",AIADMK,All India Anna Dravida Munnetra Kazhagam,Thanjavur,Tamil Nadu
"Kachhadiya,Shri Naranbhai Bhikhabhai",BJP,Bharatiya Janata Party,Amreli,Gujarat
"Kaiser,Choudhary Mehboob Ali",Lok Jan Shakti Party,Lok Jan Shakti Party,Khagaria,Bihar
"Kalvakuntla,Smt. Kavitha",Telangana Rashtra Samithi,Telangana Rashtra Samithi,Nizamabad,Telangana
"Kamal Nath,Shri",INC,Indian National Congress,Chhindwara,Madhya Pradesh
"Kamaraj,Dr. K.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Kallakurichi,Tamil Nadu
"Kambhampati,Dr. Hari Babu",BJP,Bharatiya Janata Party,Visakhapatnam,Andhra Pradesh
"Karadi,Shri Sanganna Amarappa",BJP,Bharatiya Janata Party,Koppal,Karnataka
"Karandlaje,Km. Shobha",BJP,Bharatiya Janata Party,Udupi Chikmagalur,Karnataka
"Karra,Shri Tariq Hameed",Jammu and Kashmir Peoples Democratic Party,Jammu and Kashmir Peoples Democratic Party,Srinagar,Jammu and Kashmir
"Karunakaran,Shri P.",CPI (Marxist),Communist Party of India (Marxist),Kasaragod,Kerala
"Kashyap,Shri Dinesh",BJP,Bharatiya Janata Party,Bastar,Chhattisgarh
"Kashyap,Shri Virender",BJP,Bharatiya Janata Party,Shimla,Himachal Pradesh
"Kaswan,Shri Rahul",BJP,Bharatiya Janata Party,Churu,Rajasthan
"Kataria,Shri Rattan Lal",BJP,Bharatiya Janata Party,Ambala,Haryana
"Kateel,Shri Nalin Kumar",BJP,Bharatiya Janata Party,Dakshina Kannada,Karnataka
"Kaushik,Shri Ramesh Chander",BJP,Bharatiya Janata Party,Sonipat,Haryana
"Kesineni,Shri Srinivas",TDP,Telugu Desam Party,Vijayawada,Andhra Pradesh
"Khadse,Smt. Raksha Nikhil",BJP,Bharatiya Janata Party,Raver,Maharashtra
"Khaire,Shri Chandrakant Bhaurao",Shiv Sena,Shiv Sena,Aurangabad,Maharashtra
"Khalsa,Shri Harinder Singh",AAP,Aam Aadmi Party,Fatehgarh Sahib,Punjab
"Khan,Shri Md. Badaruddoza",CPI (Marxist),Communist Party of India (Marxist),Murshidabad,West Bengal
"Khanduri, Maj Gen Bhuwan Chandra AVSM (Retd.)",BJP,Bharatiya Janata Party,Garhwal,Uttarakhand
"Khanna,Shri Vinod",BJP,Bharatiya Janata Party,Gurdaspur,Punjab
"Kharge,Shri Mallikarjun",INC,Indian National Congress,Gulbarga,Karnataka
"Kher,Smt. Kirron Anupam",BJP,Bharatiya Janata Party,Chandigarh,Chandigarh
"Khuba,Shri Bhagwanth",BJP,Bharatiya Janata Party,Bidar,Karnataka
"Kirtikar,Shri Gajanan Chandrakant",Shiv Sena,Shiv Sena,Mumbai-North-West,Maharashtra
"Kishore,Shri Kaushal",BJP,Bharatiya Janata Party,Mohanlalganj,Uttar Pradesh
"Kodikunnil,Shri Suresh",INC,Indian National Congress,Mavelikkara,Kerala
"Koli,Shri Bahadur Singh",BJP,Bharatiya Janata Party,Bharatpur,Rajasthan
"Koshyari,Shri Bhagat Singh",BJP,Bharatiya Janata Party,Nainital-Udhamsingh,Uttarakhand
"Kothapalli,Smt. Geetha",YSRCP,Yuvajana Sramika Rythu Congress Party,Araku,Andhra Pradesh
"Kulaste,Shri Faggan Singh",BJP,Bharatiya Janata Party,Mandla,Madhya Pradesh
"Kumar,Dr. Arun",Rashtriya Lok Samta Party,Rashtriya Lok Samta Party,Jahanabad,Bihar
"Kumar,Shri Dharmendra",BJP,Bharatiya Janata Party,Aonla,Uttar Pradesh
"Kumar,Shri Kaushalendra",Janata Dal (United),Janata Dal (United),Nalanda,Bihar
"Kumar,Shri Kunwar Sarvesh",BJP,Bharatiya Janata Party,Moradabad,Uttar Pradesh
"Kumar,Shri P.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Tiruchirappalli,Tamil Nadu
"Kumar,Shri Santosh",Janata Dal (United),Janata Dal (United),Purnia,Bihar
"Kumar,Shri Shailesh (Bulo Mandal)",RJD,Rashtriya Janata Dal,Bhagalpur,Bihar
"Kumar,Shri Shanta",BJP,Bharatiya Janata Party,Kangra,Himachal Pradesh
"Kumar,Dr. Virendra",BJP,Bharatiya Janata Party,Tikamgarh,Madhya Pradesh
"Kundariya,Shri Mohanbhai Kalyanji",BJP,Bharatiya Janata Party,Rajkot,Gujarat
"Kushawaha,Shri Ravindra",BJP,Bharatiya Janata Party,Salempur,Uttar Pradesh
"Kushwaha,Shri Upendra",Rashtriya Lok Samta Party,Rashtriya Lok Samta Party,Karakat,Bihar
"Laguri,Smt. Sakuntala",BJD,Biju Janata Dal,Keonjhar,Odisha
"Lakhanpal,Shri Raghav",BJP,Bharatiya Janata Party,Saharanpur,Uttar Pradesh
"Lekhi,Smt. Meenakashi",BJP,Bharatiya Janata Party,New,NCT of Delhi
"Lokhande,Shri Sadashiv Kisan",Shiv Sena,Shiv Sena,Shirdi,Maharashtra
"M.,Smt. Vasanthi",AIADMK,All India Anna Dravida Munnetra Kazhagam,Tenkasi,Tamil Nadu
"Maadam,Smt. Poonamben Hematbhai",BJP,Bharatiya Janata Party,Jamnagar,Gujarat
"Maganti,Shri Murali Mohan",TDP,Telugu Desam Party,Rajahmundry,Andhra Pradesh
"Magantti,Shri Venkateswara Rao (Babu)",TDP,Telugu Desam Party,Eluru,Andhra Pradesh
"Mahadik,Shri Dhananjay Bhimrao",NCP,Nationalist Congress Party,Kolhapur,Maharashtra
"Mahajan,Smt. Poonam",BJP,Bharatiya Janata Party,Mumbai-North-Central,Maharashtra
"Mahato,Shri Bidyut Baran",BJP,Bharatiya Janata Party,Jamshedpur,Jharkhand
"Mahato,Dr. Mriganka",TMC,All India Trinamool Congress,Purulia,West Bengal
"Mahendran,Shri C.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Pollachi,Tamil Nadu
"Mahtab,Shri Bhartruhari",BJD,Biju Janata Dal,Cuttack,Odisha
"Mahto,Dr. Banshilal",BJP,Bharatiya Janata Party,Korba,Chhattisgarh
"Majhi,Shri Balabhadra",BJD,Biju Janata Dal,Nabarangpur,Odisha
"Malviya,Prof. Chintamani",BJP,Bharatiya Janata Party,Ujjain,Madhya Pradesh
"Malyadri,Shri Sriram",TDP,Telugu Desam Party,Bapatla,Andhra Pradesh
"Mandal,Dr. Tapas",TMC,All India Trinamool Congress,Ranaghat,West Bengal
"Mani,Shri Jose K.",Kerala Congress (M),Kerala Congress (M),Kottayam,Kerala
"Manjhi,Shri Hari",BJP,Bharatiya Janata Party,Gaya,Bihar
"Mann,Shri Bhagwant",AAP,Aam Aadmi Party,Sangrur,Punjab
"Marabi,Shri Kamalbhan Singh",BJP,Bharatiya Janata Party,Surguja,Chhattisgarh
"Maragatham,Smt. K.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Kancheepuram,Tamil Nadu
"Marutharajaa,Shri R.P.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Perambalur,Tamil Nadu
"Maurya,Shri Keshav Prasad (Kushwaha)",BJP,Bharatiya Janata Party,Phulpur,Uttar Pradesh
"Meena,Shri Arjunlal",BJP,Bharatiya Janata Party,Udaipur,Rajasthan
"Meena,Shri Harish Chandra",BJP,Bharatiya Janata Party,Dausa,Rajasthan
"Meghwal,Shri Arjun Ram",BJP,Bharatiya Janata Party,Bikaner,Rajasthan
"Meinya,Dr. Thokchom",INC,Indian National Congress,Inner,Manipur
"Mishra,Shri Anoop",BJP,Bharatiya Janata Party,Morena,Madhya Pradesh
"Mishra,Shri Bhairon Prasad",BJP,Bharatiya Janata Party,Banda,Uttar Pradesh
"Mishra,Shri Daddan",BJP,Bharatiya Janata Party,Shrawasti,Uttar Pradesh
"Mishra,Shri Janardan",BJP,Bharatiya Janata Party,Rewa,Madhya Pradesh
"Mishra,Shri Kalraj",BJP,Bharatiya Janata Party,Deoria,Uttar Pradesh
"Misra,Shri Ajay (Teni)",BJP,Bharatiya Janata Party,Kheri,Uttar Pradesh
"Misra,Shri Pinaki",BJD,Biju Janata Dal,Puri,Odisha
"Modi,Shri Narendra",BJP,Bharatiya Janata Party,Varanasi,Uttar Pradesh
"Mohammad,Shri Asrarul Haque",INC,Indian National Congress,Kishanganj,Bihar
"Mohammed,Shri Faizal P.P.",NCP,Nationalist Congress Party,Lakshadweep,Lakshadweep
"Mohan,Shri P. C.",BJP,Bharatiya Janata Party,Bangalore,Karnataka
"Mohapatra,Shri Sidhant",BJD,Biju Janata Dal,Berhampur,Odisha
"Moily,Dr. M. Veerappa",INC,Indian National Congress,Chikkballapur,Karnataka
"Mondal,Smt. Pratima",TMC,All India Trinamool Congress,Jaynagar,West Bengal
"Mondal,Shri Sunil Kumar",TMC,All India Trinamool Congress,Bardhaman,West Bengal
"Muddahanumegowda,Shri S.P.",INC,Indian National Congress,Tumkur,Karnataka
"Mukherjee,Dr. Abhijit",INC,Indian National Congress,Jangipur,West Bengal
"Mullappally,Shri Ramachandran",INC,Indian National Congress,Vadakara,Kerala
"Munda,Shri Kariya",BJP,Bharatiya Janata Party,Khunti,Jharkhand
"Munde,Dr. Pritam Gopinath",BJP,Bharatiya Janata Party,Beed,Maharashtra
"Muniyappa,Dr. K.H.",INC,Indian National Congress,Kolar,Karnataka
"Nagar,Shri Rodmal",BJP,Bharatiya Janata Party,Rajgarh,Madhya Pradesh
"Naik,Dr. (Prof.) Azmeera Seetaram",Telangana Rashtra Samithi,Telangana Rashtra Samithi,Mahabubabad,Telangana
"Naik,Shri B.V.",INC,Indian National Congress,Raichur,Karnataka
"Naik,Shri Shripad Yesso",BJP,Bharatiya Janata Party,North Goa,Goa
"Natterjee,Advocate Jayasingh Thiyagaraj",AIADMK,All India Anna Dravida Munnetra Kazhagam,Thoothukkudi,Tamil Nadu
"Nete,Shri Ashok Mahadeorao",BJP,Bharatiya Janata Party,Gadchiroli-Chimur,Maharashtra
"Nimmala,Shri Kristappa",TDP,Telugu Desam Party,Hindupur,Andhra Pradesh
"Ninama,Shri Manshankar",BJP,Bharatiya Janata Party,Banswara,Rajasthan
"Nishad,Shri Ajay",BJP,Bharatiya Janata Party,Muzaffarpur,Bihar
"Nishank,Dr. Ramesh Pokhriyal",BJP,Bharatiya Janata Party,Hardwar,Uttarakhand
"Noor,Smt. Mausam",INC,Indian National Congress,Maldaha,West Bengal
"Oram,Shri Jual",BJP,Bharatiya Janata Party,Sundargarh,Odisha
"Owaisi,Shri Asaduddin",AIMM,All India Majlis-E-Ittehadul Muslimeen,Hyderabad,Telangana
"P.,Shri Nagarajan",AIADMK,All India Anna Dravida Munnetra Kazhagam,Coimbatore,Tamil Nadu
"Pal ,Shri Jagdambika",BJP,Bharatiya Janata Party,Domariyaganj,Uttar Pradesh
"Pala,Shri Vincent H",INC,Indian National Congress,Shillong,Meghalaya
"Panda,Shri Baijayant ""Jay""",BJD,Biju Janata Dal,Kendrapara,Odisha
"Pandey,Shri Hari Om",BJP,Bharatiya Janata Party,Ambedkar,Uttar Pradesh
